    healthcare::0017 missing_features               pred=19 true=19 lat=3031ms
      teaching::0037 incomplete_contested_ontology  pred=14 true=14 lat=2044ms
      teaching::0057 noisy_incomplete_transcript    pred=11 true=10 lat=3911ms
      teaching::0057 missing_features               pred=10 true=10 lat=2519ms
      teaching::0057 sparse_history                 pred=11 true=10 lat=1945ms
      teaching::0057 incomplete_contested_ontology  pred=11 true=10 lat=2122ms
      teaching::0077 noisy_incomplete_transcript    pred=6 true=6 lat=2352ms
      teaching::0077 missing_features               pred=6 true=6 lat=2402ms
      teaching::0077 sparse_history                 pred=6 true=6 lat=1954ms
      teaching::0077 incomplete_contested_ontology  pred=6 true=6 lat=2144ms
      teaching::0097 noisy_incomplete_transcript    pred=11 true=2 lat=2391ms
      teaching::0097 missing_features               pred=11 true=2 lat=2241ms
      teaching::0097 sparse_history                 pred=11 true=2 lat=1820ms
      teaching::0097 incomplete_contested_ontology  pred=11 true=2 lat=2317ms
      teaching::0018 noisy_incomplete_transcript    pred=19 true=19 lat=2309ms
      teaching::0018 missing_features               pred=19 true=19 lat=2064ms
      teaching::0018 sparse_history                 pred=19 true=19 lat=2139ms
      teaching::0018 incomplete_contested_ontology  pred=19 true=19 lat=2189ms
      teaching::0038 noisy_incomplete_transcript    pred=5 true=15 lat=1978ms
      teaching::0038 missing_features               pred=5 true=15 lat=2209ms
      teaching::0038 sparse_history                 pred=5 true=15 lat=2184ms
      teaching::0038 incomplete_contested_ontology  pred=5 true=15 lat=2304ms
      teaching::0058 noisy_incomplete_transcript    pred=11 true=11 lat=1936ms
      teaching::0058 missing_features               pred=11 true=11 lat=2201ms
      teaching::0058 sparse_history                 pred=11 true=11 lat=2239ms
      teaching::0058 incomplete_contested_ontology  pred=11 true=11 lat=2088ms
      teaching::0078 noisy_incomplete_transcript    pred=11 true=7 lat=2252ms
      teaching::0078 missing_features               pred=11 true=7 lat=1953ms
      teaching::0078 sparse_history                 pred=11 true=7 lat=2217ms
      teaching::0078 incomplete_contested_ontology  pred=11 true=7 lat=2031ms
      teaching::0098 noisy_incomplete_transcript    pred=3 true=3 lat=2555ms
      teaching::0098 missing_features               pred=18 true=3 lat=1931ms
      teaching::0098 sparse_history                 pred=3 true=3 lat=1966ms
      teaching::0098 incomplete_contested_ontology  pred=3 true=3 lat=2139ms
      teaching::0019 noisy_incomplete_transcript    pred=11 true=20 lat=2039ms
      teaching::0019 missing_features               pred=20 true=20 lat=2112ms
      teaching::0019 sparse_history                 pred=20 true=20 lat=2040ms
      teaching::0019 incomplete_contested_ontology  pred=20 true=20 lat=1735ms
      teaching::0039 noisy_incomplete_transcript    pred=11 true=16 lat=2248ms
      teaching::0039 missing_features               pred=10 true=16 lat=1768ms
      teaching::0039 sparse_history                 pred=10 true=16 lat=2326ms
      teaching::0039 incomplete_contested_ontology  pred=10 true=16 lat=1832ms
      teaching::0059 noisy_incomplete_transcript    pred=12 true=12 lat=2020ms
      teaching::0059 missing_features               pred=12 true=12 lat=2093ms
      teaching::0059 sparse_history                 pred=12 true=12 lat=2145ms
      teaching::0059 incomplete_contested_ontology  pred=12 true=12 lat=2193ms
      teaching::0079 noisy_incomplete_transcript    pred=11 true=8 lat=2137ms
      teaching::0079 missing_features               pred=11 true=8 lat=2247ms
      teaching::0079 sparse_history                 pred=11 true=8 lat=2001ms
      teaching::0079 incomplete_contested_ontology  pred=11 true=8 lat=1916ms
      teaching::0099 noisy_incomplete_transcript    pred=4 true=4 lat=2339ms
      teaching::0099 missing_features               pred=4 true=4 lat=2494ms
      teaching::0099 sparse_history                 pred=4 true=4 lat=1981ms
      teaching::0099 incomplete_contested_ontology  pred=4 true=4 lat=2521ms
Done. Results in results_sensitivity.jsonl
